Instruction 1,Instruction 2,Conflict Type
"SUB R8, R1, R2","AND R13, R8, R3",WAR
"SUB R5, R0, 34","OR R5, R0, 18",WAW
"ADD R2, R0, 24","XOR R2, R0, 23",WAW
"SHIFT R15, R0, 32","STORE R15, R0, 20",WAW
"DIV R11, R0, 16","AND R11, R0, 37",WAW
"XOR R6, R1, R2","STORE R6, R6, R3",WAR
"LOAD R4, R0, 10","XOR R6, R4, R2",RAW
"LOAD R11, R0, 22","LOAD R9, R11, R2",RAW
"OR R8, R0, 7","MUL R8, R0, 2",WAW
"SUB R9, R1, R2","OR R8, R9, R3",WAR
"LOAD R5, R0, 46","MUL R5, R0, 8",WAW
"SUB R6, R0, 28","LOAD R6, R0, 23",WAW
"STORE R0, R1, R2","STORE R7, R0, R3",WAR
"XOR R5, R0, 48","SUB R5, R0, 15",WAW
"SHIFT R15, R1, R2","LOAD R12, R15, R3",WAR
"STORE R15, R1, R2","SHIFT R0, R3, 10",No_CONFLICT
"STORE R12, R0, 18","ADD R12, R0, 40",WAW
"DIV R5, R1, R2","OR R6, R5, R3",WAR
"MUL R10, R0, 15","MUL R8, R10, R2",RAW
"DIV R3, R1, R2","SUB R10, R3, 10",No_CONFLICT
"ADD R3, R0, 19","AND R14, R3, R2",RAW
"AND R2, R1, R2","STORE R3, R2, R3",WAR
"AND R9, R1, R2","OR R4, R3, 10",No_CONFLICT
"LOAD R0, R0, 33","DIV R0, R0, 31",WAW
"SHIFT R2, R1, R2","STORE R8, R3, 10",No_CONFLICT
"ADD R13, R0, 17","MUL R13, R0, 15",WAW
"LOAD R0, R0, 38","SUB R4, R0, R2",RAW
"OR R2, R1, R2","MUL R1, R2, R3",WAR
"OR R11, R0, 21","ADD R11, R0, 48",WAW
"DIV R1, R1, R2","SUB R2, R3, 10",No_CONFLICT
"ADD R2, R1, R2","OR R0, R2, R3",WAR
"OR R10, R1, R2","STORE R8, R3, 10",No_CONFLICT
"MUL R6, R1, R2","DIV R6, R6, R3",WAR
"STORE R10, R0, 26","SUB R11, R10, R2",RAW
"DIV R7, R0, 9","SHIFT R7, R0, 16",WAW
"OR R4, R1, R2","MUL R12, R3, 10",No_CONFLICT
"OR R11, R0, 30","DIV R11, R0, 31",WAW
"ADD R11, R1, R2","ADD R8, R11, R3",WAR
"DIV R13, R1, R2","STORE R10, R3, 10",No_CONFLICT
"XOR R0, R1, R2","OR R13, R3, 10",No_CONFLICT
"STORE R12, R0, 33","XOR R3, R12, R2",RAW
"AND R5, R0, 28","STORE R2, R5, R2",RAW
"ADD R4, R1, R2","OR R6, R3, 10",No_CONFLICT
"AND R15, R0, 15","OR R1, R15, R2",RAW
"OR R3, R1, R2","SHIFT R1, R3, R3",WAR
"SHIFT R8, R1, R2","XOR R3, R3, 10",No_CONFLICT
"AND R8, R0, 30","DIV R15, R8, R2",RAW
"SUB R13, R0, 5","AND R13, R0, 14",WAW
"SUB R7, R1, R2","MUL R7, R7, R3",WAR
"XOR R7, R1, R2","SUB R13, R3, 10",No_CONFLICT
"LOAD R10, R1, R2","STORE R14, R3, 10",No_CONFLICT
"MUL R12, R1, R2","MUL R11, R3, 10",No_CONFLICT
"LOAD R14, R1, R2","STORE R4, R14, R3",WAR
"MUL R4, R0, 0","DIV R0, R4, R2",RAW
"STORE R3, R0, 3","XOR R3, R0, 36",WAW
"STORE R4, R1, R2","LOAD R4, R4, R3",WAR
"SHIFT R9, R1, R2","SHIFT R11, R3, 10",No_CONFLICT
"SUB R1, R1, R2","AND R9, R1, R3",WAR
"XOR R4, R1, R2","SUB R14, R4, R3",WAR
"OR R0, R0, 39","MUL R4, R0, R2",RAW
"ADD R10, R0, 6","LOAD R10, R0, 23",WAW
"MUL R7, R1, R2","STORE R10, R3, 10",No_CONFLICT
"LOAD R4, R0, 41","SUB R4, R0, 32",WAW
"OR R2, R0, 9","OR R0, R2, R2",RAW
"SUB R10, R0, 3","SUB R10, R0, 11",WAW
"AND R10, R0, 26","SHIFT R10, R10, R2",RAW
"ADD R13, R1, R2","LOAD R13, R13, R3",WAR
"DIV R14, R1, R2","OR R14, R14, R3",WAR
"DIV R6, R0, 47","SUB R2, R6, R2",RAW
"DIV R14, R0, 42","ADD R14, R0, 50",WAW
"SUB R7, R0, 13","SHIFT R7, R0, 41",WAW
"SHIFT R10, R1, R2","ADD R12, R3, 10",No_CONFLICT
"OR R5, R1, R2","LOAD R15, R3, 10",No_CONFLICT
"DIV R0, R1, R2","OR R5, R0, R3",WAR
"LOAD R9, R1, R2","DIV R11, R9, R3",WAR
"SHIFT R10, R1, R2","SUB R8, R3, 10",No_CONFLICT
"DIV R11, R1, R2","MUL R9, R3, 10",No_CONFLICT
"LOAD R10, R1, R2","SHIFT R10, R10, R3",WAR
"SHIFT R6, R0, 17","ADD R6, R0, 37",WAW
"STORE R6, R1, R2","LOAD R12, R3, 10",No_CONFLICT
"OR R11, R1, R2","DIV R15, R3, 10",No_CONFLICT
"ADD R1, R0, 38","DIV R1, R0, 39",WAW
"OR R6, R1, R2","SHIFT R5, R6, R3",WAR
"SHIFT R12, R1, R2","DIV R11, R3, 10",No_CONFLICT
"DIV R3, R0, 18","DIV R6, R3, R2",RAW
"SHIFT R9, R1, R2","SHIFT R0, R9, R3",WAR
"SHIFT R9, R1, R2","DIV R10, R9, R3",WAR
"DIV R7, R1, R2","MUL R3, R7, R3",WAR
"SHIFT R6, R1, R2","DIV R7, R6, R3",WAR
"SUB R6, R1, R2","OR R2, R3, 10",No_CONFLICT
"AND R11, R0, 0","DIV R13, R11, R2",RAW
"SUB R13, R0, 46","MUL R9, R13, R2",RAW
"SUB R3, R0, 5","ADD R3, R0, 47",WAW
"ADD R7, R1, R2","XOR R3, R3, 10",No_CONFLICT
"MUL R6, R1, R2","STORE R0, R3, 10",No_CONFLICT
"LOAD R9, R1, R2","ADD R4, R3, 10",No_CONFLICT
"XOR R8, R0, 26","ADD R8, R0, 16",WAW
"SUB R1, R1, R2","AND R15, R3, 10",No_CONFLICT
"XOR R4, R0, 28","XOR R4, R0, 1",WAW
"DIV R2, R0, 31","DIV R2, R0, 38",WAW
"OR R11, R1, R2","DIV R12, R11, R3",WAR
"XOR R1, R1, R2","ADD R12, R3, 10",No_CONFLICT
"OR R14, R0, 21","MUL R14, R0, 37",WAW
"SUB R13, R0, 41","SUB R13, R0, 14",WAW
"SUB R2, R1, R2","ADD R6, R3, 10",No_CONFLICT
"STORE R4, R0, 41","SUB R4, R0, 18",WAW
"SUB R6, R0, 26","XOR R0, R6, R2",RAW
"SHIFT R7, R0, 39","LOAD R14, R7, R2",RAW
"OR R11, R1, R2","OR R14, R3, 10",No_CONFLICT
"SUB R10, R1, R2","AND R11, R10, R3",WAR
"SHIFT R12, R0, 12","ADD R12, R0, 41",WAW
"XOR R8, R1, R2","AND R10, R8, R3",WAR
"OR R9, R0, 34","SHIFT R9, R0, 23",WAW
"STORE R1, R0, 36","STORE R10, R1, R2",RAW
"MUL R6, R0, 40","SUB R14, R6, R2",RAW
"MUL R2, R1, R2","SHIFT R13, R2, R3",WAR
"MUL R13, R1, R2","SHIFT R11, R13, R3",WAR
"XOR R3, R0, 13","XOR R3, R0, 35",WAW
"LOAD R13, R0, 8","XOR R2, R13, R2",RAW
"MUL R4, R1, R2","STORE R6, R3, 10",No_CONFLICT
"DIV R6, R0, 0","STORE R5, R6, R2",RAW
"STORE R7, R0, 33","SHIFT R11, R7, R2",RAW
"LOAD R2, R0, 0","XOR R7, R2, R2",RAW
"AND R8, R0, 42","AND R8, R0, 9",WAW
"LOAD R1, R1, R2","SUB R8, R3, 10",No_CONFLICT
"STORE R1, R1, R2","STORE R14, R3, 10",No_CONFLICT
"MUL R9, R1, R2","DIV R14, R9, R3",WAR
"AND R2, R0, 13","STORE R2, R0, 43",WAW
"OR R11, R1, R2","LOAD R9, R3, 10",No_CONFLICT
"SHIFT R0, R1, R2","OR R13, R3, 10",No_CONFLICT
"OR R2, R1, R2","SUB R13, R3, 10",No_CONFLICT
"AND R8, R0, 4","STORE R2, R8, R2",RAW
"AND R13, R0, 34","STORE R13, R0, 47",WAW
"MUL R7, R0, 1","LOAD R10, R7, R2",RAW
"LOAD R7, R0, 22","ADD R15, R7, R2",RAW
"XOR R6, R0, 1","DIV R6, R0, 22",WAW
"SHIFT R8, R0, 9","ADD R8, R0, 39",WAW
"MUL R11, R1, R2","DIV R15, R3, 10",No_CONFLICT
"DIV R13, R1, R2","SHIFT R1, R3, 10",No_CONFLICT
"LOAD R1, R1, R2","DIV R10, R1, R3",WAR
"ADD R10, R1, R2","LOAD R3, R10, R3",WAR
"DIV R8, R1, R2","MUL R12, R8, R3",WAR
"SHIFT R4, R1, R2","XOR R15, R3, 10",No_CONFLICT
"XOR R15, R0, 6","LOAD R15, R0, 29",WAW
"SHIFT R12, R0, 32","MUL R15, R12, R2",RAW
"SUB R11, R0, 47","ADD R11, R0, 6",WAW
"DIV R1, R1, R2","SHIFT R15, R3, 10",No_CONFLICT
"MUL R13, R1, R2","ADD R14, R13, R3",WAR
"STORE R14, R0, 5","SHIFT R14, R0, 44",WAW
"AND R14, R1, R2","SHIFT R5, R14, R3",WAR
"STORE R6, R1, R2","SHIFT R2, R6, R3",WAR
"OR R2, R1, R2","SHIFT R5, R2, R3",WAR
"OR R12, R1, R2","OR R0, R3, 10",No_CONFLICT
"STORE R10, R0, 38","XOR R10, R0, 26",WAW
"SHIFT R15, R0, 43","SHIFT R10, R15, R2",RAW
"SHIFT R6, R0, 26","LOAD R2, R6, R2",RAW
"MUL R8, R0, 44","SHIFT R1, R8, R2",RAW
"AND R15, R0, 5","MUL R6, R15, R2",RAW
"STORE R8, R1, R2","STORE R8, R8, R3",WAR
"XOR R5, R0, 14","SHIFT R3, R5, R2",RAW
"AND R5, R1, R2","SUB R14, R5, R3",WAR
"LOAD R2, R1, R2","ADD R1, R2, R3",WAR
"OR R10, R1, R2","STORE R14, R3, 10",No_CONFLICT
"SUB R15, R0, 0","AND R15, R0, 15",WAW
"SUB R7, R0, 29","OR R8, R7, R2",RAW
"SHIFT R7, R0, 45","ADD R7, R0, 21",WAW
"AND R10, R0, 48","XOR R2, R10, R2",RAW
"SHIFT R12, R1, R2","AND R11, R3, 10",No_CONFLICT
"XOR R2, R0, 2","LOAD R6, R2, R2",RAW
"SUB R8, R1, R2","SHIFT R15, R3, 10",No_CONFLICT
"XOR R9, R1, R2","XOR R9, R9, R3",WAR
"SUB R2, R1, R2","ADD R2, R2, R3",WAR
"MUL R12, R0, 12","XOR R12, R0, 8",WAW
"SUB R1, R1, R2","STORE R6, R1, R3",WAR
"DIV R0, R1, R2","STORE R14, R3, 10",No_CONFLICT
"STORE R11, R0, 31","SHIFT R9, R11, R2",RAW
"ADD R5, R0, 32","LOAD R7, R5, R2",RAW
"AND R5, R0, 30","XOR R8, R5, R2",RAW
"LOAD R7, R0, 36","DIV R4, R7, R2",RAW
"SUB R5, R1, R2","XOR R11, R3, 10",No_CONFLICT
"DIV R0, R1, R2","SUB R2, R3, 10",No_CONFLICT
"XOR R4, R0, 2","XOR R13, R4, R2",RAW
"ADD R14, R1, R2","MUL R3, R3, 10",No_CONFLICT
"AND R12, R1, R2","LOAD R8, R3, 10",No_CONFLICT
"SHIFT R6, R0, 3","SHIFT R7, R6, R2",RAW
"AND R8, R1, R2","XOR R8, R8, R3",WAR
"ADD R7, R1, R2","XOR R6, R3, 10",No_CONFLICT
"DIV R2, R0, 36","MUL R2, R0, 15",WAW
"DIV R6, R0, 45","LOAD R7, R6, R2",RAW
"SHIFT R14, R0, 6","AND R4, R14, R2",RAW
"MUL R12, R0, 42","LOAD R12, R0, 15",WAW
"ADD R11, R1, R2","MUL R14, R3, 10",No_CONFLICT
"XOR R2, R0, 31","LOAD R9, R2, R2",RAW
"AND R6, R0, 45","MUL R6, R0, 3",WAW
"XOR R7, R1, R2","SHIFT R13, R7, R3",WAR
"AND R0, R0, 9","OR R14, R0, R2",RAW
"XOR R13, R0, 48","MUL R4, R13, R2",RAW
"LOAD R6, R1, R2","LOAD R6, R6, R3",WAR
"MUL R4, R0, 25","LOAD R15, R4, R2",RAW
"AND R6, R0, 40","AND R10, R6, R2",RAW
"LOAD R3, R0, 17","SUB R0, R3, R2",RAW
"AND R2, R1, R2","STORE R4, R3, 10",No_CONFLICT
"SHIFT R2, R1, R2","ADD R5, R3, 10",No_CONFLICT
"XOR R10, R0, 1","XOR R4, R10, R2",RAW
"DIV R10, R1, R2","LOAD R0, R3, 10",No_CONFLICT
"OR R13, R1, R2","DIV R1, R3, 10",No_CONFLICT
"STORE R12, R0, 16","LOAD R2, R12, R2",RAW
"DIV R2, R0, 37","ADD R15, R2, R2",RAW
"OR R8, R0, 45","XOR R8, R8, R2",RAW
"STORE R13, R1, R2","DIV R8, R3, 10",No_CONFLICT
"ADD R2, R0, 19","SUB R10, R2, R2",RAW
"SUB R9, R0, 11","STORE R9, R0, 45",WAW
"AND R9, R1, R2","DIV R6, R3, 10",No_CONFLICT
"XOR R13, R1, R2","LOAD R11, R13, R3",WAR
"SHIFT R15, R0, 20","ADD R15, R0, 44",WAW
"SHIFT R14, R0, 7","LOAD R14, R0, 0",WAW
"SUB R14, R0, 18","SHIFT R9, R14, R2",RAW
"SHIFT R3, R1, R2","SHIFT R4, R3, 10",No_CONFLICT
"OR R12, R0, 34","ADD R12, R0, 28",WAW
"LOAD R8, R0, 21","OR R8, R0, 14",WAW
"SHIFT R6, R0, 38","STORE R2, R6, R2",RAW
"ADD R7, R1, R2","SHIFT R14, R3, 10",No_CONFLICT
"ADD R11, R1, R2","DIV R15, R3, 10",No_CONFLICT
"XOR R15, R1, R2","ADD R1, R3, 10",No_CONFLICT
"OR R4, R1, R2","SUB R10, R4, R3",WAR
"OR R0, R1, R2","MUL R0, R3, 10",No_CONFLICT
"SHIFT R14, R1, R2","OR R7, R14, R3",WAR
"ADD R3, R0, 12","DIV R3, R0, 12",WAW
"MUL R1, R1, R2","DIV R10, R3, 10",No_CONFLICT
"OR R6, R1, R2","AND R1, R3, 10",No_CONFLICT
"ADD R6, R0, 37","XOR R5, R6, R2",RAW
"MUL R3, R0, 13","SHIFT R3, R0, 26",WAW
"SUB R1, R0, 42","ADD R8, R1, R2",RAW
"SUB R6, R0, 27","ADD R6, R0, 36",WAW
"OR R12, R0, 26","SHIFT R12, R0, 4",WAW
"OR R12, R0, 9","XOR R3, R12, R2",RAW
"MUL R2, R1, R2","ADD R3, R3, 10",No_CONFLICT
"AND R8, R1, R2","LOAD R1, R8, R3",WAR
"AND R13, R1, R2","OR R3, R3, 10",No_CONFLICT
"DIV R6, R1, R2","OR R13, R3, 10",No_CONFLICT
"SHIFT R11, R1, R2","LOAD R0, R11, R3",WAR
"XOR R1, R0, 36","SHIFT R3, R1, R2",RAW
"ADD R13, R0, 50","STORE R13, R0, 15",WAW
"LOAD R1, R1, R2","SHIFT R5, R1, R3",WAR
"XOR R10, R1, R2","LOAD R10, R3, 10",No_CONFLICT
"AND R0, R1, R2","XOR R9, R3, 10",No_CONFLICT
"XOR R9, R0, 4","AND R11, R9, R2",RAW
"STORE R8, R1, R2","STORE R13, R3, 10",No_CONFLICT
"MUL R9, R1, R2","AND R9, R9, R3",WAR
"XOR R1, R0, 42","MUL R1, R0, 26",WAW
"LOAD R14, R1, R2","SUB R15, R3, 10",No_CONFLICT
"XOR R6, R1, R2","AND R9, R3, 10",No_CONFLICT
"ADD R2, R1, R2","SUB R6, R3, 10",No_CONFLICT
"LOAD R0, R0, 41","AND R15, R0, R2",RAW
"LOAD R9, R0, 26","DIV R9, R0, 13",WAW
"SHIFT R11, R1, R2","SHIFT R1, R11, R3",WAR
"DIV R12, R0, 24","STORE R12, R0, 29",WAW
"OR R6, R0, 18","OR R10, R6, R2",RAW
"SUB R13, R1, R2","ADD R7, R13, R3",WAR
"MUL R13, R0, 38","OR R13, R0, 13",WAW
"STORE R4, R1, R2","AND R11, R4, R3",WAR
"SUB R9, R0, 40","DIV R11, R9, R2",RAW
"LOAD R7, R0, 17","AND R7, R0, 43",WAW
"ADD R2, R1, R2","AND R0, R3, 10",No_CONFLICT
"LOAD R1, R0, 0","OR R1, R0, 16",WAW
"OR R2, R0, 40","DIV R2, R0, 39",WAW
"STORE R11, R1, R2","ADD R2, R11, R3",WAR
"SHIFT R7, R0, 35","ADD R2, R7, R2",RAW
"LOAD R13, R0, 1","STORE R2, R13, R2",RAW
"XOR R9, R0, 48","DIV R9, R0, 40",WAW
"MUL R6, R0, 49","SUB R6, R0, 12",WAW
"STORE R3, R0, 35","MUL R3, R0, 44",WAW
"SUB R10, R1, R2","AND R9, R3, 10",No_CONFLICT
"SHIFT R11, R1, R2","XOR R15, R3, 10",No_CONFLICT
"ADD R4, R1, R2","LOAD R7, R3, 10",No_CONFLICT
"AND R0, R1, R2","STORE R14, R0, R3",WAR
"ADD R9, R1, R2","DIV R5, R3, 10",No_CONFLICT
"AND R3, R0, 13","XOR R3, R0, 26",WAW
"DIV R15, R1, R2","SUB R4, R3, 10",No_CONFLICT
"SHIFT R11, R0, 22","SHIFT R11, R0, 11",WAW
"SUB R15, R0, 43","SUB R5, R15, R2",RAW
"XOR R15, R1, R2","LOAD R7, R3, 10",No_CONFLICT
"SHIFT R11, R1, R2","ADD R4, R11, R3",WAR
"SUB R15, R1, R2","STORE R10, R3, 10",No_CONFLICT
"SHIFT R5, R1, R2","STORE R10, R3, 10",No_CONFLICT
"SHIFT R12, R1, R2","LOAD R10, R3, 10",No_CONFLICT
"SHIFT R10, R0, 6","OR R7, R10, R2",RAW
"XOR R7, R0, 32","AND R8, R7, R2",RAW
"DIV R8, R1, R2","STORE R2, R8, R3",WAR
"SUB R2, R1, R2","XOR R3, R2, R3",WAR
"MUL R10, R0, 16","MUL R10, R0, 28",WAW
"XOR R13, R0, 23","ADD R10, R13, R2",RAW
"OR R2, R0, 35","ADD R2, R0, 41",WAW
"LOAD R14, R1, R2","XOR R0, R14, R3",WAR
"OR R14, R0, 6","XOR R10, R14, R2",RAW
"DIV R8, R1, R2","AND R1, R3, 10",No_CONFLICT
"DIV R11, R0, 8","MUL R10, R11, R2",RAW
"OR R12, R1, R2","MUL R7, R12, R3",WAR
"STORE R13, R1, R2","STORE R10, R13, R3",WAR
"ADD R12, R0, 8","SUB R8, R12, R2",RAW
"STORE R11, R1, R2","AND R1, R3, 10",No_CONFLICT
"SUB R10, R0, 13","MUL R2, R10, R2",RAW
"LOAD R9, R1, R2","LOAD R10, R9, R3",WAR
"AND R15, R0, 48","DIV R15, R0, 40",WAW
"SHIFT R4, R0, 8","OR R4, R0, 2",WAW
"AND R0, R0, 5","XOR R0, R0, 36",WAW
"SUB R0, R0, 45","XOR R0, R0, 42",WAW
"LOAD R2, R1, R2","SUB R1, R3, 10",No_CONFLICT
"MUL R11, R1, R2","ADD R5, R11, R3",WAR
"LOAD R0, R1, R2","MUL R15, R3, 10",No_CONFLICT
"DIV R4, R1, R2","STORE R13, R3, 10",No_CONFLICT
"LOAD R1, R0, 0","SUB R12, R1, R2",RAW
"SUB R9, R1, R2","ADD R0, R9, R3",WAR
"LOAD R15, R1, R2","SHIFT R2, R3, 10",No_CONFLICT
"AND R5, R1, R2","SHIFT R5, R3, 10",No_CONFLICT
"MUL R10, R1, R2","ADD R7, R3, 10",No_CONFLICT
"AND R7, R1, R2","DIV R13, R7, R3",WAR
"SHIFT R13, R0, 35","MUL R13, R0, 10",WAW
"SHIFT R12, R0, 40","ADD R8, R12, R2",RAW
"LOAD R14, R1, R2","MUL R7, R3, 10",No_CONFLICT
"AND R14, R0, 32","ADD R6, R14, R2",RAW
"ADD R2, R0, 3","SUB R3, R2, R2",RAW
"SUB R11, R1, R2","SUB R5, R11, R3",WAR
"MUL R4, R0, 33","SHIFT R4, R0, 42",WAW
"XOR R7, R0, 11","MUL R9, R7, R2",RAW
"XOR R3, R1, R2","XOR R3, R3, R3",WAR
"XOR R5, R1, R2","LOAD R10, R5, R3",WAR
"STORE R10, R1, R2","OR R14, R3, 10",No_CONFLICT
"SUB R15, R0, 43","ADD R4, R15, R2",RAW
"XOR R13, R0, 15","XOR R5, R13, R2",RAW
"STORE R9, R0, 2","AND R9, R0, 50",WAW
"ADD R5, R1, R2","SHIFT R10, R3, 10",No_CONFLICT
"SUB R1, R0, 11","OR R12, R1, R2",RAW
"AND R9, R1, R2","AND R3, R9, R3",WAR
"STORE R13, R1, R2","XOR R15, R13, R3",WAR
"STORE R12, R0, 49","DIV R9, R12, R2",RAW
"STORE R6, R1, R2","DIV R1, R3, 10",No_CONFLICT
"DIV R9, R0, 15","ADD R9, R0, 17",WAW
"MUL R7, R0, 16","OR R7, R0, 4",WAW
"SHIFT R5, R0, 22","STORE R4, R5, R2",RAW
"ADD R3, R1, R2","SHIFT R12, R3, R3",WAR
"XOR R15, R0, 16","DIV R15, R0, 8",WAW
"AND R8, R1, R2","SHIFT R12, R8, R3",WAR
"OR R13, R1, R2","ADD R2, R3, 10",No_CONFLICT
"OR R8, R0, 7","SHIFT R1, R8, R2",RAW
"STORE R12, R1, R2","XOR R0, R12, R3",WAR
"XOR R12, R0, 44","XOR R3, R12, R2",RAW
"SHIFT R0, R0, 44","LOAD R0, R0, 35",WAW
"ADD R12, R0, 15","DIV R11, R12, R2",RAW
"MUL R8, R1, R2","ADD R6, R8, R3",WAR
"LOAD R13, R1, R2","OR R3, R13, R3",WAR
"AND R0, R1, R2","SHIFT R4, R0, R3",WAR
"OR R1, R1, R2","SUB R12, R1, R3",WAR
"DIV R13, R0, 37","LOAD R13, R0, 6",WAW
"MUL R9, R0, 16","SUB R9, R0, 11",WAW
"SUB R1, R0, 16","SHIFT R1, R0, 13",WAW
"MUL R9, R0, 15","DIV R11, R9, R2",RAW
"XOR R7, R1, R2","ADD R4, R7, R3",WAR
"OR R12, R0, 6","SHIFT R10, R12, R2",RAW
"ADD R0, R1, R2","STORE R2, R0, R3",WAR
"ADD R1, R0, 43","XOR R14, R1, R2",RAW
"DIV R4, R0, 14","LOAD R4, R0, 16",WAW
"MUL R2, R0, 31","SUB R14, R2, R2",RAW
"ADD R11, R1, R2","ADD R11, R11, R3",WAR
"MUL R13, R1, R2","SUB R1, R13, R3",WAR
"LOAD R15, R0, 47","SHIFT R6, R15, R2",RAW
"LOAD R6, R1, R2","SHIFT R10, R6, R3",WAR
"LOAD R7, R1, R2","XOR R5, R3, 10",No_CONFLICT
"STORE R8, R1, R2","SHIFT R1, R3, 10",No_CONFLICT
"XOR R13, R0, 36","OR R13, R13, R2",RAW
"STORE R3, R1, R2","OR R5, R3, R3",WAR
"SHIFT R12, R0, 36","ADD R11, R12, R2",RAW
"ADD R5, R0, 43","STORE R9, R5, R2",RAW
"AND R2, R0, 29","DIV R8, R2, R2",RAW
"ADD R14, R1, R2","ADD R2, R14, R3",WAR
"XOR R10, R1, R2","DIV R7, R10, R3",WAR
"OR R12, R0, 40","AND R11, R12, R2",RAW
"LOAD R12, R0, 6","AND R1, R12, R2",RAW
"MUL R2, R1, R2","LOAD R12, R3, 10",No_CONFLICT
"OR R12, R0, 12","SHIFT R12, R0, 44",WAW
"DIV R11, R1, R2","SHIFT R13, R11, R3",WAR
"MUL R11, R0, 45","STORE R5, R11, R2",RAW
"SHIFT R2, R0, 16","XOR R2, R0, 30",WAW
"OR R9, R1, R2","SUB R8, R3, 10",No_CONFLICT
"ADD R0, R1, R2","MUL R14, R0, R3",WAR
"AND R6, R0, 5","SHIFT R6, R0, 3",WAW
"ADD R4, R1, R2","STORE R9, R4, R3",WAR
"DIV R14, R1, R2","XOR R10, R3, 10",No_CONFLICT
"STORE R10, R0, 11","LOAD R1, R10, R2",RAW
"DIV R8, R1, R2","ADD R15, R8, R3",WAR
"SUB R9, R0, 19","MUL R9, R0, 4",WAW
"SUB R8, R1, R2","SUB R1, R3, 10",No_CONFLICT
"MUL R6, R1, R2","DIV R11, R3, 10",No_CONFLICT
"ADD R6, R1, R2","ADD R4, R3, 10",No_CONFLICT
"SHIFT R6, R0, 50","LOAD R6, R0, 21",WAW
"AND R8, R1, R2","LOAD R9, R3, 10",No_CONFLICT
"SUB R8, R0, 38","OR R8, R0, 46",WAW
"LOAD R0, R0, 30","OR R0, R0, 36",WAW
"OR R12, R1, R2","STORE R3, R12, R3",WAR
"MUL R10, R0, 40","AND R10, R0, 26",WAW
"SUB R12, R1, R2","LOAD R11, R12, R3",WAR
"LOAD R14, R1, R2","STORE R6, R3, 10",No_CONFLICT
"DIV R6, R1, R2","LOAD R8, R6, R3",WAR
"DIV R6, R0, 27","LOAD R6, R6, R2",RAW
"AND R11, R0, 24","LOAD R5, R11, R2",RAW
"OR R2, R0, 25","LOAD R2, R0, 23",WAW
"MUL R1, R0, 43","DIV R8, R1, R2",RAW
"DIV R5, R0, 31","LOAD R5, R0, 49",WAW
"DIV R13, R1, R2","DIV R9, R13, R3",WAR
"ADD R2, R1, R2","SHIFT R7, R2, R3",WAR
"AND R10, R1, R2","XOR R14, R3, 10",No_CONFLICT
"AND R1, R0, 4","LOAD R1, R0, 33",WAW
"ADD R9, R1, R2","STORE R6, R3, 10",No_CONFLICT
"DIV R1, R0, 14","ADD R1, R0, 2",WAW
"SHIFT R8, R1, R2","SUB R14, R3, 10",No_CONFLICT
"MUL R8, R0, 13","SHIFT R5, R8, R2",RAW
"OR R1, R0, 28","AND R1, R0, 14",WAW
"ADD R15, R1, R2","DIV R15, R3, 10",No_CONFLICT
"LOAD R13, R1, R2","STORE R4, R13, R3",WAR
"SUB R11, R1, R2","MUL R10, R3, 10",No_CONFLICT
"AND R6, R0, 10","SUB R2, R6, R2",RAW
"MUL R1, R1, R2","MUL R6, R3, 10",No_CONFLICT
"LOAD R9, R0, 2","LOAD R8, R9, R2",RAW
"OR R0, R0, 12","DIV R11, R0, R2",RAW
"MUL R10, R0, 48","DIV R10, R0, 47",WAW
"MUL R15, R1, R2","DIV R1, R15, R3",WAR
"MUL R6, R0, 7","MUL R6, R0, 30",WAW
"ADD R3, R0, 2","SHIFT R8, R3, R2",RAW
"OR R7, R0, 4","XOR R13, R7, R2",RAW
"AND R2, R1, R2","STORE R4, R3, 10",No_CONFLICT
"DIV R9, R0, 45","SHIFT R5, R9, R2",RAW
"MUL R6, R0, 10","SHIFT R6, R0, 17",WAW
"STORE R3, R0, 25","AND R3, R0, 1",WAW
"STORE R6, R1, R2","DIV R2, R3, 10",No_CONFLICT
"STORE R8, R1, R2","SUB R11, R3, 10",No_CONFLICT
"DIV R0, R1, R2","SHIFT R13, R0, R3",WAR
"STORE R11, R0, 8","SUB R11, R0, 15",WAW
"OR R9, R0, 16","SHIFT R9, R9, R2",RAW
"OR R0, R1, R2","XOR R13, R3, 10",No_CONFLICT
"XOR R4, R1, R2","STORE R0, R3, 10",No_CONFLICT
"AND R4, R1, R2","MUL R12, R4, R3",WAR
"LOAD R11, R0, 3","STORE R11, R0, 21",WAW
"STORE R14, R1, R2","ADD R4, R3, 10",No_CONFLICT
"MUL R2, R0, 31","STORE R2, R0, 17",WAW
"ADD R9, R1, R2","MUL R10, R3, 10",No_CONFLICT
"SHIFT R14, R1, R2","SUB R0, R14, R3",WAR
"DIV R7, R0, 24","ADD R13, R7, R2",RAW
"SUB R6, R0, 27","MUL R1, R6, R2",RAW
"XOR R15, R0, 38","LOAD R15, R0, 37",WAW
"ADD R9, R0, 22","XOR R6, R9, R2",RAW
"MUL R11, R0, 16","SHIFT R10, R11, R2",RAW
"OR R2, R1, R2","AND R15, R3, 10",No_CONFLICT
"OR R9, R0, 46","LOAD R12, R9, R2",RAW
"XOR R3, R0, 45","DIV R3, R0, 50",WAW
"LOAD R14, R1, R2","LOAD R12, R14, R3",WAR
